CD4,CD8b,CD3,CD8,cluster_label
308,220,157,339,3
319,271,223,350,3
215,148,119,221,3
104,49,284,178,8
262,167,144,156,3
423,97,344,113,0
236,214,141,209,3
258,82,253,205,0
286,128,172,220,3
169,289,224,537,6
190,108,114,175,3
115,151,53,142,2
271,119,132,232,3
235,189,165,254,3
232,195,176,133,3
168,463,388,665,6
211,126,30,95,3
414,45,277,184,0
200,98,194,178,3
73,234,63,85,9
299,210,86,222,3
315,30,258,120,0
325,18,344,103,0
231,230,133,248,3
225,69,14,102,3
335,227,315,129,9
187,5,26,121,3
194,164,90,113,3
208,208,152,167,3
235,163,81,118,3
209,156,161,102,3
304,193,131,188,3
120,72,34,261,2
105,45,142,184,2
207,120,88,113,3
223,175,125,108,3
263,100,110,144,3
232,151,135,204,3
263,129,156,75,3
120,149,52,179,2
103,105,511,130,8
189,129,149,144,3
78,348,301,611,6
47,61,86,272,2
151,102,50,154,2
228,139,32,129,3
264,146,145,250,3
316,175,149,171,3
146,126,14,285,2
234,37,126,202,3
215,154,107,185,3
246,78,93,117,3
275,183,92,239,3
236,162,109,150,3
237,9,226,214,0
275,155,159,113,3
234,179,140,238,3
215,176,172,100,3
308,212,128,192,3
234,173,63,192,3
272,166,103,154,3
276,209,152,142,3
338,199,129,104,3
326,108,301,164,0
318,69,213,197,0
221,202,131,190,3
125,61,402,525,8
280,147,92,71,3
192,120,18,564,5
291,113,234,64,0
272,153,173,154,3
112,38,124,195,2
260,183,116,242,3
271,81,165,154,0
194,174,113,153,3
133,442,204,718,6
295,167,106,195,3
249,152,11,126,3
232,159,123,114,3
282,213,91,278,3
238,173,205,182,3
326,81,302,121,0
82,39,50,140,2
308,228,190,154,3
386,105,249,172,0
284,143,88,91,3
106,329,325,491,6
106,351,173,607,6
188,333,189,583,6
217,201,122,157,3
354,25,295,170,0
239,179,74,176,3
315,114,302,181,0
141,130,439,252,8
61,17,26,97,2
308,218,65,71,3
72,129,140,416,5
364,104,255,2,0
194,147,84,101,3
70,7,18,58,2
125,38,83,411,5
178,156,175,110,3
296,91,126,156,3
233,157,166,95,3
92,61,24,65,2
140,390,282,680,6
316,162,90,226,3
68,80,485,224,8
202,51,122,143,3
36,95,11,460,5
118,33,28,180,2
81,62,62,59,2
152,69,52,217,2
408,75,385,12,0
236,1,306,129,0
217,156,140,175,3
182,295,190,578,6
105,403,402,583,6
101,81,100,61,2
365,85,263,87,0
132,443,337,659,6
208,129,160,165,3
252,201,168,103,3
257,189,58,129,3
89,133,62,197,2
119,53,96,87,2
292,92,301,53,0
125,50,11,204,2
195,209,84,147,3
256,157,140,111,3
292,110,254,145,0
250,84,265,155,0
152,92,15,175,2
396,2,233,196,0
131,61,99,165,2
264,70,160,137,0
331,9,304,52,0
292,110,266,56,0
230,319,171,616,1
299,128,128,145,3
254,155,90,224,3
386,101,262,119,0
230,161,72,238,3
257,101,40,178,3
229,71,263,140,0
359,126,281,179,0
234,162,148,64,3
313,85,220,557,9
394,141,244,190,0
95,21,15,237,2
212,174,107,268,3
115,424,214,681,6
77,276,292,682,6
186,82,14,399,5
247,118,15,149,3
124,94,395,268,8
183,52,50,380,5
389,95,348,224,0
466,60,480,130,0
75,81,47,193,2
118,21,293,40,8
231,158,111,180,3
249,134,139,83,3
234,188,157,197,3
120,61,461,137,8
197,198,139,136,3
202,163,136,93,3
114,67,113,530,5
19,290,353,656,6
254,91,87,112,3
192,265,42,155,3
70,20,420,569,8
239,191,64,231,3
282,101,279,184,0
224,71,130,42,0
135,405,256,670,6
195,130,52,177,3
110,460,342,676,6
385,139,399,122,0
208,128,37,133,3
248,203,108,273,3
416,80,423,58,0
229,39,150,162,0
148,145,253,584,8
143,218,321,548,6
137,298,176,635,6
116,119,153,677,5
188,132,120,190,3
194,135,27,72,3
388,106,370,224,0
140,62,235,44,8
143,92,118,82,2
134,376,324,657,6
283,61,193,306,0
355,50,223,80,0
116,41,360,651,8
267,198,100,168,3
121,77,413,425,8
252,173,125,213,3
281,306,238,376,3
363,400,327,398,9
366,365,275,374,3
223,280,241,224,9
199,296,236,225,9
358,368,281,375,3
462,355,332,324,3
259,315,481,236,9
243,197,303,8,9
470,321,442,369,10
312,247,261,297,3
447,485,431,636,1
238,108,122,69,3
412,333,279,441,3
414,492,388,660,1
368,319,278,366,3
277,123,73,32,3
224,159,146,156,3
249,197,165,186,3
450,301,417,416,10
128,421,245,644,6
278,217,213,365,9
472,417,486,422,10
301,312,244,579,1
327,277,224,326,3
223,203,127,131,3
464,390,398,687,1
243,246,119,304,3
111,54,37,97,2
255,150,89,133,3
255,214,137,232,3
195,145,133,108,3
371,288,235,285,3
359,263,217,223,3
249,123,116,86,3
419,318,173,393,9
310,239,162,308,3
461,149,393,206,0
322,239,178,261,3
179,162,74,499,5
550,381,466,628,9
473,60,389,60,0
504,470,505,733,1
449,430,448,723,1
482,497,365,696,1
377,331,340,453,9
480,354,327,487,9
361,296,219,277,3
256,93,311,70,0
429,464,378,778,1
181,83,94,75,2
251,112,75,142,3
204,208,100,290,3
168,123,35,456,5
396,358,312,541,9
294,251,204,240,3
386,36,305,116,0
123,64,64,159,2
388,328,279,332,3
321,434,285,649,1
101,403,276,652,6
185,426,299,681,6
400,340,269,422,3
377,315,234,334,3
465,353,396,232,10
391,256,442,216,10
422,357,336,669,1
568,406,478,480,10
354,297,249,265,3
284,263,186,364,3
424,188,396,456,9
71,456,386,686,6
480,324,420,310,10
286,287,228,292,3
549,363,421,344,10
213,207,112,115,3
93,140,93,129,2
348,308,263,309,3
495,329,403,329,10
219,160,81,137,3
410,474,350,666,1
315,136,97,178,3
449,347,377,359,10
237,127,175,219,3
251,165,87,217,3
210,192,147,233,3
156,134,286,250,8
200,180,136,262,3
445,357,347,360,3
451,329,272,332,3
516,513,479,685,1
110,70,68,6,2
350,325,295,315,3
292,208,176,223,3
264,227,212,205,3
286,224,144,177,3
551,454,455,725,1
139,105,67,158,2
278,149,142,150,3
358,303,268,351,3
430,525,399,725,1
288,273,132,186,3
462,538,401,750,1
369,116,250,155,0
245,215,93,225,3
245,159,160,213,3
503,597,511,782,1
31,6,90,305,2
309,220,93,202,3
417,246,322,235,10
336,286,246,292,3
254,185,53,91,3
365,269,186,287,3
357,321,295,358,3
283,82,232,214,0
377,263,172,261,3
490,325,469,584,9
520,372,421,326,10
446,323,487,439,9
188,219,17,274,3
253,218,157,176,3
88,6,105,40,2
173,133,154,9,3
476,379,391,530,9
345,286,193,316,3
269,189,78,119,3
363,350,262,319,3
265,211,177,250,3
286,191,165,168,3
129,83,368,462,8
289,157,151,81,3
